model,horizon,component,rmse,mae,corr
RNN,4,component_11,0.8967457753197459,0.7188336838077038,0.18089318588202122
RNN,4,component_12,0.8052648273377497,0.6389601686150531,0.04102550435814714
RNN,4,component_13,0.8212025088249117,0.6495726662375988,0.09802720922483942
RNN,4,component_14,0.8242696015460887,0.6470763836300949,0.02803436184856897
RNN,4,component_15,0.8355511206028171,0.6686634684991449,0.08687869721217606
RNN,4,component_16,0.8142892175589954,0.6524935509497958,0.19833720144871025
RNN,4,component_17,0.8152328028257068,0.651335930403421,0.01254743074882746
RNN,4,component_18,0.8075722563878999,0.6370510026183115,0.08734881020281143
RNN,4,component_19,0.8109292790520769,0.6505467499947317,0.010934651247221951
RNN,4,component_20,0.7704477012414425,0.6086014958366138,0.14413896537426324
RNN,4,component_21,0.8049552542043745,0.6432489583353775,0.1297875729823771
RNN,4,component_22,0.8360117836642393,0.6869227373398095,0.1677588647408653
RNN,4,component_23,0.8146262536289376,0.6643753147664948,0.16262554294433212
RNN,4,component_24,0.8200974547302068,0.6603699631891782,-0.06893343783549662
RNN,4,component_25,0.7327203846608323,0.5869146093193022,0.25002397870398096
RNN,4,component_26,0.8018827005018025,0.6467915616838285,0.12303169697040925
RNN,4,component_27,0.7908640980398276,0.6222828120187786,0.15015652450166792
RNN,4,component_28,0.7456367515925348,0.5938031426419633,0.045696620622324484
RNN,4,component_29,0.7472980435927253,0.6128475459619958,0.14663798696686248
RNN,4,component_30,0.8864683468370613,0.7048886084115281,0.18647833972830571
RNN,4,component_31,0.7926773347548576,0.639701940643124,0.0813787782360206
RNN,4,component_32,0.8099459996783952,0.6573963069646395,0.13056683626719745
RNN,4,component_33,0.797395695423506,0.6366719799387637,0.10785131478119636
RNN,4,component_34,0.7687138667866782,0.6181062548041787,0.33251626034213455
RNN,4,component_35,0.847005916560171,0.6783508748204418,0.06656023420114127
RNN,4,component_36,0.6816863408849162,0.546687159359314,0.26242373027499477
RNN,4,component_37,0.7850168188181723,0.6237847960481975,0.1309285863154239
RNN,4,component_38,0.7799849528936423,0.6132592829092052,-0.013985736308448455
RNN,4,component_39,0.7526493378124638,0.6030916809154443,0.05320366224014595
RNN,4,component_40,0.7557848513273826,0.6084049726955568,-0.01932381491377205
RNN,4,component_41,0.7765898466017869,0.6260418584250852,0.04867802607198098
RNN,4,component_42,0.8351914350564165,0.6670008322190889,0.03408293153153477
RNN,4,component_43,0.704225690229761,0.5650425681622055,0.20731701861067878
RNN,4,component_44,0.7362170138056425,0.587103779647309,0.08434284610093228
RNN,4,component_45,0.7571413660993591,0.6058513425481931,0.20542084771636449
RNN,4,component_46,0.7797513398396944,0.6320941795381233,0.08336086065505069
RNN,4,component_47,0.7541867636844616,0.5893494229530958,-0.008818212091194377
RNN,4,component_48,0.7553360058230074,0.6107672443897367,0.14291191345642873
RNN,4,component_49,0.7189924401864373,0.5673904095538562,0.04865883943785637
RNN,4,component_50,0.765934987012093,0.6097116966262763,0.36569408395498015
RNN,4,component_51,0.7512800780022482,0.5962455085315597,-0.003799918921227036
RNN,4,component_52,0.7766603026205874,0.6240745942228053,0.10789262771102644
RNN,4,component_53,0.7282223417911508,0.5690462067971853,0.12322246167851494
RNN,4,component_54,0.7585101389723032,0.6129032789752009,0.05974360399165041
RNN,4,component_55,0.7527200644896151,0.6051203598874506,0.2005644235649752
RNN,4,component_56,0.7604541858578082,0.6136068059977814,0.12584002904471986
RNN,4,component_57,0.766321193750768,0.6105956390045995,0.11073258273972643
RNN,4,component_58,0.7694546397477001,0.6104832267914734,0.09452426674467165
RNN,4,component_59,0.753759445205857,0.6048402950132349,0.13678706401697047
RNN,4,component_60,0.7597536723411854,0.6101284315002319,0.24196997935161055
RNN,8,overall,0.7883405297932846,0.6295543488949672,0.19674684790363986
RNN,8,component_01,0.7327460669657941,0.5767833044633378,0.5301310305938911
RNN,8,component_02,0.8011771936744736,0.6330809065688888,0.4725219278061848
RNN,8,component_03,0.8236792509498548,0.6635367705817603,0.09374486169110516
RNN,8,component_04,0.7773133870002009,0.6260826969763291,0.15305325010419732
RNN,8,component_05,0.765455359131742,0.6076371388192298,0.13825065008341791
RNN,8,component_06,0.8376458364582374,0.6624803575258524,0.3717641674832507
RNN,8,component_07,0.854998527791387,0.6842568946090035,0.10110910998720349
RNN,8,component_08,0.8632376239581243,0.6839807036239199,0.04653365700685148
RNN,8,component_09,0.797490386901021,0.6504636871938712,0.279756176346502
RNN,8,component_10,0.8322646885423838,0.6775458574974158,0.02617153715364938
RNN,8,component_11,0.9061788062666021,0.7272880330179534,0.10176502200350032
RNN,8,component_12,0.8045652533079751,0.6355795004308905,0.02764537103942464
RNN,8,component_13,0.8394758298634355,0.6679061632888836,-0.012485161339467603
RNN,8,component_14,0.8282697006160736,0.6567191501454168,-0.07358254579316376
RNN,8,component_15,0.8327924343225453,0.6678614048131863,0.1300593140204988
RNN,8,component_16,0.8283486660285597,0.6720901755358487,0.1435357691504468
RNN,8,component_17,0.812743323436447,0.6545201960035611,0.01656802234353905
RNN,8,component_18,0.8055648761568759,0.6339151566095675,0.04053848859282662
RNN,8,component_19,0.812339339513384,0.6519645037174912,-0.1260815268843748
RNN,8,component_20,0.7657211934009857,0.605063175372368,0.15546297512797894
RNN,8,component_21,0.8064467263480435,0.6465593001039589,0.09366279197810913
RNN,8,component_22,0.8516120807882834,0.6932496694975487,0.11175033770965566
RNN,8,component_23,0.8038870347676109,0.6552333650831305,0.19679860937592447
RNN,8,component_24,0.7994106464384024,0.644687858913018,0.14166455523388602
RNN,8,component_25,0.7339050496198735,0.5954416256185597,0.2407012476296125
RNN,8,component_26,0.8026848371130306,0.6460027623500387,0.13838919675309275
RNN,8,component_27,0.7991702743799909,0.6281295822266338,0.042695059830254824
RNN,8,component_28,0.74847524486979,0.5930583282468452,-0.028166254942100944
RNN,8,component_29,0.7417757695625821,0.6107477923117682,0.04605337890390746
RNN,8,component_30,0.8817463552222107,0.7097975807474651,0.14870487299746052
RNN,8,component_31,0.7885682309659645,0.6354888459641695,0.1198106695488969
