model,horizon,component,rmse,mae,corr
MLP,2,component_48,0.75883716356036,0.6079918501923084,0.18374464488313597
MLP,2,component_49,0.7198877557254968,0.5690721362360192,0.10578500833986822
MLP,2,component_50,0.7452428136091429,0.5908772008726,0.3955439005440228
MLP,2,component_51,0.7616151882094933,0.6024048560622984,0.030696214851557147
MLP,2,component_52,0.7712684289548993,0.619077288309143,0.1837129529126113
MLP,2,component_53,0.7429998155348517,0.5872155110763463,0.12617258845747553
MLP,2,component_54,0.7510682369582393,0.6027037015628375,0.19129405467719046
MLP,2,component_55,0.787773990308578,0.6306259817295631,0.08859148643902474
MLP,2,component_56,0.7548191760108591,0.6091021747214138,0.22284735754020002
MLP,2,component_57,0.7852147997081482,0.6245515511784514,0.10154428912445027
MLP,2,component_58,0.7840790954810438,0.6201133516992393,0.09504438163998806
MLP,2,component_59,0.7772649134099251,0.6195947318736307,0.07214253363683668
MLP,2,component_60,0.7808077576583274,0.6236510858941492,0.15520429652038187
MLP,4,overall,0.795715926735329,0.635249666231252,0.1966969398347969
MLP,4,component_01,0.717221478535135,0.5657411317052017,0.5468665967720912
MLP,4,component_02,0.7924089475892117,0.6265213898277194,0.4681165162538206
MLP,4,component_03,0.8207038688211628,0.6691405430453784,0.165580638611954
MLP,4,component_04,0.7813395419613032,0.6160412197849489,0.2120505779690897
MLP,4,component_05,0.7994967513022293,0.6274363049626118,0.10476451376696645
MLP,4,component_06,0.8177105761675086,0.6572260760205078,0.363839159574116
