dynamics,label,L,seed,repeat,noise_mode,noise_std,n_samples,sample_count_mode,reference_l,source_dim,target_dim,baseline,baseline_ei_tm,baseline_metadata
identity,x,4.0,20263446,1,fixed,0.05,4096,fixed_density,4.0,1,1,variance_matched,3.144905927589318,"{""direction"": [1.0]}"
identity,x,4.0,20263446,1,fixed,0.05,4096,fixed_density,4.0,1,1,shuffled_target,-0.00010029797324811747,{}
identity,x,4.0,20263446,1,fixed,0.05,4096,fixed_density,4.0,1,1,analytic_volume,1.3862943611198906,"{""source_dim"": 1}"
identity,x,4.0,20263463,2,fixed,0.05,4096,fixed_density,4.0,1,1,null,0.0007305142073783982,{}
identity,x,4.0,20263463,2,fixed,0.05,4096,fixed_density,4.0,1,1,identity,3.1333099819128223,"{""projection"": [[1.0]]}"
identity,x,4.0,20263463,2,fixed,0.05,4096,fixed_density,4.0,1,1,gain_matched,3.117608210937725,"{""gain_matrix"": [[1.0000000000000033]]}"
identity,x,4.0,20263463,2,fixed,0.05,4096,fixed_density,4.0,1,1,variance_matched,3.136367185552209,"{""direction"": [1.0]}"
identity,x,4.0,20263463,2,fixed,0.05,4096,fixed_density,4.0,1,1,shuffled_target,-3.1327927106954406e-05,{}
identity,x,4.0,20263463,2,fixed,0.05,4096,fixed_density,4.0,1,1,analytic_volume,1.3862943611198906,"{""source_dim"": 1}"
identity,x,4.0,20263480,3,fixed,0.05,4096,fixed_density,4.0,1,1,null,4.20164896779601e-05,{}
identity,x,4.0,20263480,3,fixed,0.05,4096,fixed_density,4.0,1,1,identity,3.140000686770758,"{""projection"": [[1.0]]}"
